Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
WS01_stone_0.ply,0.28473502,0.21959875,0.08821365,0.771238993,0.401703789,0.309809626,0.002606083,0.005515775,0.472478144
WS01_stone_1.ply,0.220946103,0.157550145,0.083953008,0.713070485,0.532865318,0.379970531,0.001123877,0.002922412,0.384571584
WS01_stone_10.ply,0.226594626,0.191027995,0.093141948,0.843038506,0.487582713,0.411051002,0.001560052,0.004031735,0.386943234
WS01_stone_100.ply,0.17307915,0.13979198,0.0815296,0.807676603,0.583220869,0.47105385,0.000742474,0.001972615,0.376390547
WS01_stone_101.ply,0.194999095,0.125824733,0.065431898,0.645258037,0.520024134,0.335549752,0.000722642,0.001605418,0.450127018
WS01_stone_102.ply,0.1710239,0.124364332,0.069577655,0.727175161,0.559466321,0.406830012,0.000715795,0.001479866,0.483688774
WS01_stone_103.ply,0.22302322,0.11472238,0.09699593,0.514396573,0.845483941,0.434914042,0.001187409,0.002481714,0.478463397
WS01_stone_104.ply,0.149021186,0.119844151,0.05606103,0.804208811,0.467782783,0.376195036,0.000463516,0.001001212,0.462954692
WS01_stone_105.ply,0.16514019,0.10992605,0.06629477,0.665652922,0.603085165,0.401445402,0.000443813,0.001203463,0.368780181
WS01_stone_106.ply,0.159268319,0.106919863,0.052352702,0.67131909,0.489644308,0.328707571,0.000441541,0.000891511,0.495272848
WS01_stone_107.ply,0.159180349,0.130790412,0.072418833,0.821649236,0.553701385,0.45494832,0.000635544,0.001507707,0.42153017
WS01_stone_108.ply,0.15772713,0.09087086,0.07671857,0.576127011,0.844259315,0.486400596,0.000439768,0.001099592,0.3999376
WS01_stone_109.ply,0.146658149,0.106997717,0.061413873,0.729572257,0.573973679,0.418755272,0.000418639,0.000963712,0.434403057
WS01_stone_11.ply,0.200248984,0.153047387,0.092256204,0.764285461,0.602795026,0.460707474,0.001243649,0.00282743,0.439851418
WS01_stone_110.ply,0.228755176,0.126249102,0.073136523,0.551896153,0.579303317,0.319715272,0.001096852,0.002112193,0.51929564
WS01_stone_111.ply,0.205676785,0.146322956,0.075641823,0.711421838,0.516951166,0.367770349,0.000944531,0.002276458,0.414912533
WS01_stone_112.ply,0.192712434,0.120718067,0.060573501,0.626415558,0.501776601,0.314320669,0.000694219,0.001409174,0.492642412
WS01_stone_113.ply,0.144676809,0.100137762,0.039591554,0.692147985,0.395370866,0.273655148,0.000266704,0.000573587,0.464976006
WS01_stone_114.ply,0.158581373,0.136359585,0.058436571,0.859871386,0.428547586,0.368495807,0.000469067,0.001263638,0.371204085
WS01_stone_115.ply,0.175956211,0.163595734,0.087925491,0.929752537,0.537455894,0.499700981,0.001241984,0.002530996,0.490709495
WS01_stone_116.ply,0.126388206,0.126042786,0.086184235,0.997266985,0.683769675,0.681900923,0.000553108,0.001372943,0.402862897
WS01_stone_117.ply,0.157072525,0.104379578,0.089597473,0.664531099,0.858381258,0.57042104,0.000510519,0.001468965,0.347536604
WS01_stone_118.ply,0.25423172,0.188289948,0.084906616,0.740623348,0.450935471,0.333973338,0.001864976,0.004064418,0.458854398
WS01_stone_119.ply,0.217929654,0.149160959,0.084897758,0.684445443,0.569168762,0.389564965,0.00125697,0.002759737,0.455467315
WS01_stone_12.ply,0.18100216,0.17550995,0.08316143,0.96965666,0.473827438,0.459449931,0.001024511,0.002641846,0.387801198
WS01_stone_120.ply,0.245339323,0.15149943,0.079698204,0.617509775,0.526062734,0.32484888,0.000997682,0.002962284,0.336794776
WS01_stone_121.ply,0.230037038,0.155592852,0.09689647,0.67638174,0.622756567,0.42122117,0.001406129,0.00346813,0.405443115
