Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
OC01_stone_0.ply,0.381457066,0.2288948,0.070512524,0.600053899,0.308056469,0.184850485,0.097708561,0.198810436,0.491465954
OC01_stone_1.ply,0.108878116,0.085052423,0.057362757,0.781170964,0.674440008,0.526852951,0.008336403,0.017153337,0.48599307
OC01_stone_10.ply,0.116616247,0.110767363,0.100209726,0.949845039,0.904686392,0.859311881,0.014647869,0.041799596,0.350430868
OC01_stone_100.ply,0.121356966,0.112648538,0.044719508,0.928241219,0.396982583,0.368495597,0.006916799,0.01974143,0.350369705
OC01_stone_101.ply,0.112190668,0.06651184,0.061040611,0.592846451,0.917740525,0.544079213,0.005949332,0.014708416,0.404484865
OC01_stone_102.ply,0.061364544,0.049198571,0.033260259,0.801742627,0.676041156,0.542011013,0.001004891,0.003242552,0.309907413
OC01_stone_103.ply,0.20589859,0.110944291,0.08196751,0.538829772,0.738816839,0.398096509,0.023600947,0.060463238,0.390335473
OC01_stone_104.ply,0.250120493,0.208950872,0.089256579,0.835400849,0.427165383,0.356854324,0.084677871,0.150634703,0.562140529
OC01_stone_105.ply,0.269296087,0.23111402,0.065325501,0.858215292,0.28265486,0.242578723,0.084242837,0.131289626,0.64165646
OC01_stone_106.ply,0.249207234,0.203691363,0.092101401,0.817357346,0.452161543,0.369577559,0.076483556,0.15097006,0.506614067
OC01_stone_107.ply,0.23618655,0.150496337,0.06029076,0.637192665,0.400612809,0.255267543,0.040120231,0.069202723,0.579749308
OC01_stone_108.ply,0.245061777,0.149000751,0.060431878,0.608013017,0.40558103,0.246598546,0.034537008,0.071256003,0.484689096
OC01_stone_11.ply,0.119781601,0.10349663,0.07530461,0.864044468,0.727604464,0.628682612,0.010630948,0.030145966,0.352649104
OC01_stone_12.ply,0.378950768,0.226605073,0.076992218,0.597980245,0.339763876,0.203172086,0.126727468,0.213496411,0.593581257
OC01_stone_13.ply,0.310791002,0.238418318,0.062241903,0.767133914,0.261061749,0.200269321,0.080956068,0.148930019,0.543584622
OC01_stone_14.ply,0.296027746,0.139102542,0.100178115,0.469896974,0.72017458,0.338407856,0.06059302,0.133208418,0.454873806
OC01_stone_15.ply,0.260783728,0.201663853,0.071047117,0.773299221,0.352304668,0.272436925,0.052792468,0.120655282,0.43754792
OC01_stone_16.ply,0.269986173,0.165810192,0.078336497,0.614143272,0.472446818,0.290150035,0.061415288,0.113242181,0.542335791
OC01_stone_17.ply,0.168248191,0.113613122,0.077990487,0.675270986,0.686456687,0.463544284,0.020895319,0.04814064,0.434047382
OC01_stone_18.ply,0.177861191,0.156619056,0.088101599,0.880569025,0.562521583,0.495339082,0.030784379,0.079250301,0.388444944
OC01_stone_19.ply,0.348095811,0.245838327,0.104211315,0.706237533,0.423901825,0.299375379,0.15244652,0.287974873,0.529374383
OC01_stone_2.ply,0.158868236,0.136914541,0.10147993,0.861811928,0.741191762,0.638767902,0.025320909,0.071278431,0.355239427
OC01_stone_20.ply,0.310154203,0.257182017,0.070714216,0.829206939,0.274957854,0.227996961,0.097695405,0.182144611,0.536361767
OC01_stone_21.ply,0.113523483,0.089804627,0.064826493,0.791066526,0.721861386,0.571040378,0.01120435,0.021341664,0.524998903
OC01_stone_22.ply,0.330551825,0.241457137,0.070080738,0.730466809,0.290240904,0.212011347,0.07071119,0.180621565,0.391488081
