Stone ID,Stone length [m],Stone width [m],stone height [m],Elongation [-],Flatness_index [-],Aspect ratio [-],Stone volume [m^3],Bounding box volume [m^3],Shape factor [-]
WS02_stone_0.ply,0.185620022,0.090133972,0.052727432,0.485583243,0.584989555,0.284061125,0.000380086,0.000882165,0.430855953
WS02_stone_1.ply,0.205383099,0.088046174,0.069012129,0.4286924,0.783817474,0.336016594,0.000459474,0.00124796,0.368180251
WS02_stone_10.ply,0.145946375,0.139427098,0.056610164,0.955331009,0.406019811,0.387883315,0.00060868,0.001151953,0.528389583
WS02_stone_100.ply,0.212462886,0.198389274,0.094717303,0.933759669,0.477431571,0.445806346,0.001621047,0.003992368,0.406036536
WS02_stone_101.ply,0.140183558,0.071463906,0.049424638,0.509788072,0.691602807,0.352570862,0.000216628,0.000495139,0.437508687
WS02_stone_102.ply,0.144632721,0.112038536,0.051942596,0.774641695,0.463613666,0.359134476,0.00030327,0.000841701,0.36030631
WS02_stone_103.ply,0.189855619,0.108951916,0.08329566,0.573867218,0.764517622,0.438731601,0.000695334,0.001722982,0.403564414
WS02_stone_104.ply,0.171315575,0.09248951,0.073549118,0.539877999,0.795215786,0.429319507,0.000444696,0.001165378,0.381589191
WS02_stone_105.ply,0.185950184,0.159644375,0.06751976,0.85853303,0.422938548,0.363106713,0.000897611,0.002004385,0.447823883
WS02_stone_106.ply,0.245339353,0.151499391,0.079698185,0.617509541,0.52606274,0.324848761,0.000997682,0.002962283,0.336794904
WS02_stone_107.ply,0.192712435,0.120718083,0.060573501,0.626415641,0.501776532,0.314320668,0.000694219,0.001409174,0.492642346
WS02_stone_108.ply,0.160494673,0.137005299,0.074133416,0.853643906,0.541098897,0.461905775,0.000566755,0.001630092,0.347682798
WS02_stone_109.ply,0.226571661,0.194305692,0.098771412,0.857590447,0.508329997,0.43593895,0.001674244,0.004348329,0.38503161
WS02_stone_11.ply,0.213947609,0.139843753,0.064889983,0.653635504,0.464017749,0.303298475,0.000712551,0.001941459,0.367018395
WS02_stone_110.ply,0.228755176,0.126249107,0.073136542,0.551896178,0.579303437,0.319715353,0.001096852,0.002112193,0.519295484
WS02_stone_111.ply,0.213497657,0.116642876,0.049648606,0.546342654,0.425646272,0.232548714,0.000567232,0.001236398,0.458777867
WS02_stone_112.ply,0.205676765,0.146322966,0.075641823,0.71142195,0.516951133,0.367770383,0.000944531,0.002276458,0.414912541
WS02_stone_113.ply,0.158262103,0.106849381,0.058729333,0.675141927,0.549645984,0.371089048,0.000446446,0.000993125,0.449536318
WS02_stone_114.ply,0.205134658,0.086842494,0.077949486,0.423343841,0.897596119,0.379991789,0.000661031,0.001388624,0.476032897
WS02_stone_115.ply,0.189457059,0.129240801,0.078473558,0.682164082,0.60718873,0.414202343,0.000655424,0.001921471,0.341105188
WS02_stone_116.ply,0.12696209,0.083247986,0.073046188,0.65569168,0.877452921,0.57533858,0.000358012,0.00077205,0.463716703
WS02_stone_117.ply,0.139203606,0.097928429,0.049630089,0.703490604,0.506799603,0.356528759,0.000267222,0.000676557,0.394974015
WS02_stone_118.ply,0.184157142,0.164664531,0.084254858,0.894152291,0.511675814,0.457516102,0.000922821,0.002554957,0.361188471
WS02_stone_119.ply,0.13971077,0.084704971,0.059789906,0.606288059,0.705860643,0.427954879,0.000292168,0.000707566,0.412920455
WS02_stone_12.ply,0.345856667,0.195643234,0.081537428,0.56567721,0.416765896,0.23575497,0.002369659,0.005517191,0.429504557
WS02_stone_120.ply,0.217929616,0.14916096,0.084897777,0.684445568,0.569168886,0.389565121,0.00125697,0.002759737,0.455467284
WS02_stone_121.ply,0.175956211,0.163595729,0.087925491,0.92975251,0.53745591,0.499700981,0.001241984,0.002530995,0.490709509
WS02_stone_122.ply,0.187579547,0.184235035,0.093812624,0.982170169,0.509200782,0.500121818,0.001615232,0.003242045,0.49821398
WS02_stone_123.ply,0.284735012,0.219598732,0.088213634,0.771238951,0.401703752,0.30980958,0.002606083,0.005515773,0.472478276
WS02_stone_124.ply,0.234826852,0.116188585,0.091760592,0.494784069,0.789755657,0.390758518,0.00098032,0.002503614,0.391561991
WS02_stone_125.ply,0.117616463,0.111727715,0.063380432,0.94993262,0.567275831,0.538873816,0.000342613,0.000832883,0.411357125
WS02_stone_126.ply,0.119070396,0.083076477,0.0492173,0.697708915,0.592433649,0.413346238,0.000193085,0.000486855,0.396596262
WS02_stone_13.ply,0.199094421,0.181736078,0.076709133,0.91281351,0.422090835,0.385290216,0.001043175,0.002775539,0.375845987
WS02_stone_14.ply,0.191761337,0.124601765,0.072967473,0.64977522,0.585605454,0.380511913,0.000722102,0.00174347,0.414174849
WS02_stone_15.ply,0.164440217,0.142560825,0.061523123,0.866946225,0.431557005,0.374136716,0.000539956,0.00144227,0.374379262
WS02_stone_16.ply,0.157509213,0.08889331,0.056969747,0.564368955,0.640877779,0.361691522,0.000254427,0.000797663,0.318965271
WS02_stone_17.ply,0.144546336,0.131462567,0.076056064,0.909483917,0.578537799,0.526170824,0.000555017,0.00144525,0.384028414
WS02_stone_18.ply,0.148290868,0.125831758,0.077294362,0.848546914,0.614267519,0.521234807,0.000590304,0.00144229,0.40928262
WS02_stone_19.ply,0.170484314,0.085796509,0.044772997,0.503251629,0.521851035,0.262622384,0.000241193,0.000654893,0.368294298
WS02_stone_2.ply,0.157727108,0.090870857,0.076718559,0.576127074,0.844259222,0.486400596,0.000439768,0.001099592,0.399937722
WS02_stone_20.ply,0.16514019,0.109926052,0.066294775,0.665652934,0.603085199,0.401445432,0.000443813,0.001203463,0.368780147
WS02_stone_21.ply,0.173079147,0.139791946,0.081529577,0.807676422,0.583220843,0.471053723,0.000742474,0.001972614,0.376390755
WS02_stone_22.ply,0.143542252,0.136258621,0.05211586,0.949257934,0.382477523,0.363069824,0.000351553,0.001019327,0.344887723
WS02_stone_23.ply,0.199703186,0.15648825,0.066022653,0.783604176,0.421901666,0.330603907,0.000885186,0.002063287,0.429017356
WS02_stone_24.ply,0.165696842,0.116101097,0.06912345,0.700683825,0.595372925,0.417168179,0.000602463,0.001329768,0.453058335
WS02_stone_25.ply,0.159268313,0.106919847,0.052352699,0.671319015,0.489644354,0.328707565,0.000441541,0.000891511,0.495272983
WS02_stone_26.ply,0.180401344,0.104392233,0.075866122,0.578666602,0.726741062,0.420540781,0.000623227,0.001428749,0.436205058
WS02_stone_27.ply,0.164795494,0.08994545,0.062983799,0.54580042,0.700244416,0.382193696,0.000356201,0.000933584,0.381541752
WS02_stone_28.ply,0.154053225,0.092090653,0.078381955,0.597784646,0.851139099,0.508797884,0.000494136,0.001111994,0.444369301
WS02_stone_29.ply,0.157072525,0.104379587,0.089597473,0.664531159,0.858381179,0.57042104,0.000510519,0.001468965,0.347536573
WS02_stone_3.ply,0.159825668,0.137317855,0.055907143,0.859172728,0.407136734,0.349800779,0.000535286,0.001226989,0.436259559
WS02_stone_30.ply,0.16330904,0.072407913,0.071408081,0.4433797,0.986191673,0.437257368,0.000399472,0.000844391,0.473088323
WS02_stone_31.ply,0.181002159,0.175509949,0.083161392,0.969656658,0.473827226,0.459449725,0.001024511,0.002641844,0.387801381
WS02_stone_32.ply,0.242683067,0.140061417,0.087785454,0.577137162,0.626764,0.361728796,0.001082168,0.002983874,0.36267221
WS02_stone_33.ply,0.163616051,0.126345684,0.071375751,0.77220837,0.56492433,0.436239296,0.000643753,0.001475493,0.436297198
WS02_stone_34.ply,0.25423172,0.188289948,0.084906616,0.740623348,0.450935471,0.333973338,0.001864976,0.004064418,0.458854401
WS02_stone_35.ply,0.12041069,0.093901329,0.076784897,0.779842129,0.817718957,0.637691692,0.000353668,0.000868186,0.407364568
WS02_stone_36.ply,0.146658193,0.106997715,0.061413869,0.729572029,0.573973651,0.418755121,0.000418639,0.000963712,0.434402961
WS02_stone_37.ply,0.167988792,0.151018382,0.059001289,0.898978912,0.390689456,0.351221582,0.000694813,0.001496827,0.464190728
WS02_stone_38.ply,0.173975173,0.11726286,0.04510882,0.674020652,0.38468122,0.259283086,0.00034461,0.000920257,0.374471592
WS02_stone_39.ply,0.149869467,0.141615499,0.048577171,0.944925624,0.343021568,0.324129869,0.000460751,0.001030994,0.446899647
WS02_stone_4.ply,0.140183094,0.068237275,0.040721988,0.486772498,0.596770433,0.290491435,0.000161856,0.000389535,0.415512219
WS02_stone_40.ply,0.187296658,0.13829118,0.062014734,0.738353697,0.448435934,0.33110433,0.000778779,0.001606273,0.484835912
WS02_stone_41.ply,0.235746756,0.136180366,0.097734058,0.577655311,0.717680975,0.414572227,0.001144948,0.003137662,0.364904746
WS02_stone_42.ply,0.137697728,0.103493617,0.084943909,0.751600031,0.820764714,0.616886784,0.000484751,0.001210522,0.400447663
WS02_stone_43.ply,0.192853117,0.099302533,0.078260306,0.51491277,0.788099801,0.405802652,0.000634438,0.001498748,0.423312001
WS02_stone_44.ply,0.261998596,0.153442345,0.103352127,0.585660942,0.673556751,0.394475881,0.001600052,0.004154929,0.385097386
WS02_stone_45.ply,0.195630264,0.133593407,0.064131699,0.682887217,0.480051375,0.327820948,0.00067752,0.001676076,0.404229887
WS02_stone_46.ply,0.146908646,0.092541428,0.071520195,0.629924993,0.772845166,0.486834486,0.000416115,0.000972327,0.427958321
