Sr.No,Wall ID,Reference,Wall ID in original publication,Mechanical properties reference,Length [cm],Height [cm],Width [cm],No of leaves,Wall volume [m^3],Stones Volume [m^3],Percentage of volumetric stone ratio,Average shape factor,Average vertical LMT,Average horizontal LMT,Average LMT for wall leaf connection,Typology based on Italian Code,Vertical_GMQI,In-plane_GMQI,Out-of-plane_GMQI,Vertical loading_GMQI_class,In-plane_GMQI_class,Out-of-plane_GMQI_class,Microstructure type,Not Fulfill (l<20 cm) [%],Partial Fulfill (20cm-40cm) [%],Fulfill (l>40cm) [%],Orientation (Up and Front)
1,OC01,Oreb et al. 2024,W1,Oreb et al. 2025,98,100,49,2,0.48,0.19,39.28,0.47,1.35,1.11,1.48,C,3.13,2.5,3.33,B,C,C,Real,44.04,54.13,1.83,FR
2,OM01,Ortega et al. 2023,Wall 1,Ortega et al. 2024,65,92,45,2,0.27,0.15,57.6,0.57,1.35,1.08,1.47,C,3.13,2.5,3.33,B,C,C,Real,11.76,82.35,5.88,FR
3,OM02,Ortega et al. 2023,Wall 2,Ortega et al. 2024,66,92,45,2,0.27,0.14,52.61,0.56,1.28,1.08,1.21,C,1.88,1.25,1.67,C,C,C,Real,10.71,89.29,0,FR
4,OM03,Ortega et al. 2023,Wall 3,Ortega et al. 2024,63,92,44,2,0.26,0.14,54.85,0.58,1.23,1.09,1.17,C,1.88,1.25,1.67,C,C,C,Real,6.9,89.66,3.45,FR
5,OM04,Ortega et al. 2023,Wall 4,Ortega et al. 2024,70,80,50,2,0.28,0.26,91.74,1,1.56,1.01,1.33,E,8.75,6.88,7.22,A,A,A,Real,0,100,0,FR
6,OM05,Ortega et al. 2023,Wall 5,Ortega et al. 2024,70,80,50,2,0.28,0.26,91.74,1,1.56,1,1.32,E,8.75,6.88,7.22,A,A,A,Real,0,100,0,FR
7,OM06,Ortega et al. 2023,Wall 6,Ortega et al. 2024,70,80,50,2,0.28,0.26,91.74,1,1.56,1,1.32,E,8.75,6.88,7.22,A,A,A,Real,0,100,0,FR
8,SS01,Saloustros et al. 2023,SW1,Saloustros et al. 2024,75,71,44,3,0.23,0.1,42.31,0.42,1.33,1.14,1.41,A,1.25,1.25,1.67,C,C,C,Real,0,100,0,FR
9,SS02,Saloustros et al. 2023,SW2,Saloustros et al. 2024,77,74,46,3,0.26,0.1,37.43,0.41,1.28,1.12,1.29,A,1.25,1.25,1.67,C,C,C,Real,0,100,0,FR
10,SS03,Saloustros et al. 2023,SW3,Saloustros et al. 2024,79,73,45,3,0.26,0.1,39.27,0.43,1.27,1.13,1.3,A,1.25,1.25,1.67,C,C,C,Real,0,100,0,FR
11,SS04,Saloustros et al. 2023,MW1,Saloustros et al. 2024,149,144,48,3,1.03,0.38,36.8,0.41,1.28,1.12,1.9,A,1.25,2.5,3.33,C,C,C,Real,0,100,0,FR
12,SS05,Saloustros et al. 2023,MW3,Saloustros et al. 2024,149,140,48,3,1,0.37,36.99,0.42,1.28,1.12,1.26,A,1.25,1.25,1.67,C,C,C,Real,53.75,46.25,0,LF
13,SB01,Shaqfa & Beyer 2022,-,,92,91,25,1,0.2,0.11,54.24,0.74,1.41,1.05,-,E,8.75,8.13,8.89,A,A,A,Virtual,13.33,86.67,0,LF
14,SB02,Shaqfa & Beyer 2022,-,,90,90,24,1,0.19,0.1,51.86,0.74,1.38,1.05,-,E,8.13,6.88,8.33,A,A,A,Virtual,100,0,0,LF
15,SB03,Shaqfa & Beyer 2022,-,,91,91,23,1,0.19,0.1,54.38,0.75,1.45,1.05,-,E,8.75,8.13,8.89,A,A,A,Virtual,100,0,0,LF
16,SB04,Shaqfa & Beyer 2022,-,,149,91,25,1,0.33,0.18,52.8,0.74,1.42,1.05,-,E,8.75,8.13,8.89,A,A,A,Virtual,100,0,0,LF
17,SB05,Shaqfa & Beyer 2022,-,,150,164,20,1,0.49,0.29,58.52,0.74,1.29,1.06,-,E,8.13,6.88,8.33,A,A,A,Virtual,73.91,26.09,0,LF
